Trdmnt,Mretwd,Equity,Benchmark
2018-01-01,-0.03650708290155438,96.34929170984456,106.0792
2018-02-01,-0.06595651121076232,89.99442857103519,99.821057596
2018-03-01,0.14110042616033758,102.6926807944643,96.7164230626492
2018-04-01,-0.03364608771929826,99.23747384832386,93.20300556205234
2018-05-01,0.006519494949494949,99.88445205787865,94.33178716241436
2018-06-01,-0.13149097674418608,86.75054789523035,87.1027649850099
2018-07-01,0.03651256250000004,89.9180326971642,87.2682602384814
2018-08-01,-0.08444204065040649,82.32517052494568,82.72446373264441
2018-09-01,0.023312034013605428,84.24433770039909,85.31349127408497
2018-10-01,-0.04910347183098593,80.10764823720747,78.24202660935862
2018-11-01,0.07940589795918368,86.46866797888134,78.7100704125358
2018-12-01,-0.0432184358974359,82.73162739469939,74.69018969642677
2019-01-01,-0.05444925675675675,78.22695177278108,79.4280871896299
2019-02-01,0.2637668413793103,98.86062775261917,91.0319747314245
